Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04 00:00:00-05:00,89.839996,90.099998,89.580002,89.809998,2829100,0.000000,0.000000
2010-01-05 00:00:00-05:00,90.050003,90.629997,90.000000,90.389999,2841600,0.000000,0.000000
2010-01-06 00:00:00-05:00,90.169998,90.260002,89.120003,89.180000,4099600,0.000000,0.000000
2010-01-07 00:00:00-05:00,89.220001,89.639999,89.120003,89.330002,2793200,0.000000,0.000000
2010-01-08 00:00:00-05:00,89.510002,89.559998,88.760002,89.290001,2910700,0.000000,0.000000
2010-01-11 00:00:00-05:00,88.989998,89.360001,88.769997,88.800003,2181300,0.000000,0.000000
2010-01-12 00:00:00-05:00,90.160004,90.389999,89.839996,90.320000,4321200,0.000000,0.000000
2010-01-13 00:00:00-05:00,89.930000,90.279999,89.220001,89.269997,4755000,0.000000,0.000000
2010-01-14 00:00:00-05:00,89.690002,90.519997,89.540001,90.519997,4188800,0.000000,0.000000
2010-01-15 00:00:00-05:00,91.029999,91.330002,90.980003,91.080002,4142800,0.000000,0.000000
2010-01-19 00:00:00-05:00,90.720001,91.120003,90.419998,90.820000,2496000,0.000000,0.000000
2010-01-20 00:00:00-05:00,91.320000,91.769997,91.269997,91.739998,2800500,0.000000,0.000000
2010-01-21 00:00:00-05:00,91.550003,92.389999,91.459999,92.160004,4363100,0.000000,0.000000
2010-01-22 00:00:00-05:00,92.089996,92.309998,91.769997,92.000000,3666900,0.000000,0.000000
2010-01-25 00:00:00-05:00,91.540001,91.919998,91.489998,91.580002,2419500,0.000000,0.000000
2010-01-26 00:00:00-05:00,92.019997,92.110001,91.309998,91.610001,3138100,0.000000,0.000000
2010-01-27 00:00:00-05:00,91.750000,92.089996,91.370003,91.559998,3325700,0.000000,0.000000
2010-01-28 00:00:00-05:00,91.129997,91.699997,91.059998,91.510002,3058200,0.000000,0.000000
2010-01-29 00:00:00-05:00,91.410004,92.360001,91.250000,92.309998,4930600,0.000000,0.000000
2010-02-01 00:00:00-05:00,91.709999,91.730003,91.050003,91.150002,3598500,0.325000,0.000000
2010-02-02 00:00:00-05:00,91.180000,91.449997,91.040001,91.410004,3047500,0.000000,0.000000
2010-02-03 00:00:00-05:00,90.809998,90.970001,90.269997,90.349998,5343700,0.000000,0.000000
2010-02-04 00:00:00-05:00,90.989998,91.820000,90.900002,91.779999,6095000,0.000000,0.000000
2010-02-05 00:00:00-05:00,91.370003,92.419998,91.209999,91.980003,6875800,0.000000,0.000000
2010-02-08 00:00:00-05:00,91.870003,92.150002,91.650002,92.099998,3386000,0.000000,0.000000
2010-02-09 00:00:00-05:00,91.739998,92.220001,91.139999,91.180000,4790000,0.000000,0.000000
2010-02-10 00:00:00-05:00,91.320000,91.599998,90.199997,90.309998,5068000,0.000000,0.000000
2010-02-11 00:00:00-05:00,90.199997,90.279999,89.379997,89.820000,5087500,0.000000,0.000000
2010-02-12 00:00:00-05:00,90.309998,90.419998,89.949997,90.190002,2833800,0.000000,0.000000
2010-02-16 00:00:00-05:00,89.730003,90.440002,89.730003,90.360001,2440900,0.000000,0.000000
2010-02-17 00:00:00-05:00,89.919998,90.089996,89.080002,89.330002,4368200,0.000000,0.000000
2010-02-18 00:00:00-05:00,89.459999,89.500000,88.510002,88.970001,5121800,0.000000,0.000000
2010-02-19 00:00:00-05:00,89.239998,89.510002,88.900002,89.449997,3502500,0.000000,0.000000
2010-02-22 00:00:00-05:00,89.120003,89.320000,88.919998,89.080002,3382600,0.000000,0.000000
2010-02-23 00:00:00-05:00,89.339996,90.540001,89.300003,90.470001,5474500,0.000000,0.000000
2010-02-24 00:00:00-05:00,90.550003,90.879997,90.180000,90.690002,4423200,0.000000,0.000000
2010-02-25 00:00:00-05:00,91.180000,91.290001,90.900002,91.199997,3707700,0.000000,0.000000
2010-02-26 00:00:00-05:00,91.459999,92.059998,91.410004,91.669998,4349100,0.000000,0.000000
2010-03-01 00:00:00-05:00,91.330002,91.529999,90.959999,91.339996,2415200,0.290000,0.000000
2010-03-02 00:00:00-05:00,90.879997,91.279999,90.699997,91.220001,2260600,0.000000,0.000000
2010-03-03 00:00:00-05:00,91.010002,91.080002,90.699997,90.989998,2156100,0.000000,0.000000
2010-03-04 00:00:00-05:00,90.959999,91.680000,90.830002,91.470001,2374700,0.000000,0.000000
2010-03-05 00:00:00-05:00,90.830002,90.870003,90.120003,90.269997,3823200,0.000000,0.000000
2010-03-08 00:00:00-05:00,89.900002,89.970001,89.699997,89.800003,2850400,0.000000,0.000000
2010-03-09 00:00:00-05:00,89.980003,90.000000,89.400002,89.820000,2573700,0.000000,0.000000
2010-03-10 00:00:00-05:00,89.489998,89.699997,89.190002,89.589996,3216200,0.000000,0.000000
2010-03-11 00:00:00-05:00,89.389999,90.139999,89.370003,89.919998,2621000,0.000000,0.000000
2010-03-12 00:00:00-05:00,89.769997,90.650002,89.730003,90.480003,3099100,0.000000,0.000000
